word embeddings,ECT_SOS,ECT_SOS_women ,ECT_SOS_lgbtq,ECT_SOS_eth ,ECT_Gender_bias,ECT_Racial_bias,ECT_SOS_reversed,ECT_SOS_women_reversed,ECT_SOS_lgbtq_reversed,ECT_SOS_eth_reversed,ECT_Gender_bias_reversed,ECT_Racial_bias_reversed
w2v,0.756293,0.862764,0.7808,0.880087,0.75251,0.786201,0.243707,0.13723600000000002,0.21919999999999995,0.11991300000000005,0.24749,0.21379899999999996
glove-wk,0.925768,0.95684,0.020149,0.942214,0.829587,0.90329,0.07423199999999996,0.043159999999999976,0.979851,0.057786000000000004,0.17041300000000004,0.09670999999999996
glove-twitter,0.973232,0.979259,0.0,0.960936,0.935943,0.898255,0.026768000000000014,0.02074100000000001,1.0,0.03906399999999999,0.06405700000000003,0.10174499999999997
UD,0.745732,0.766151,0.631056,0.618317,0.652766,0.726946,0.25426800000000005,0.23384899999999997,0.36894400000000005,0.381683,0.34723400000000004,0.273054
Chan,0.817333,0.919794,0.573317,0.734377,0.783181,0.835833,0.18266700000000002,0.080206,0.42668300000000003,0.26562300000000005,0.21681899999999998,0.16416699999999995
Glove-CC,0.97037,0.982022,0.204979,0.966801,0.938996,0.954578,0.029630000000000045,0.01797800000000005,0.795021,0.03319899999999998,0.06100399999999995,0.04542199999999996
Glove-CC-large,0.937706,0.968486,0.241895,0.934579,0.868008,0.728678,0.06229399999999996,0.03151400000000004,0.758105,0.06542099999999995,0.131992,0.27132199999999995
FastText-CC,0.847949,0.847977,0.772179,0.830855,0.707511,0.805789,0.15205100000000005,0.15202300000000002,0.22782100000000005,0.169145,0.292489,0.19421100000000002
FastText-CC-subwords,0.911571,0.93517,0.807279,0.91322,0.847711,0.828197,0.08842899999999998,0.06483000000000005,0.19272100000000003,0.08677999999999997,0.152289,0.17180300000000004
FastText-wiki,0.885969,0.924477,0.787832,0.906868,0.84135,0.835574,0.114031,0.075523,0.21216800000000002,0.09313199999999999,0.15864999999999996,0.16442599999999996
FastText-wiki-subwords,0.937673,0.948985,0.864904,0.934728,0.880892,0.837477,0.06232700000000002,0.05101500000000003,0.135096,0.065272,0.11910799999999999,0.16252299999999997
SSWE,0.953887,0.94789,0.0,0.869437,0.93132,0.774987,0.04611299999999996,0.05210999999999999,1.0,0.13056299999999998,0.06867999999999996,0.22501300000000002
Debias-W2v,0.840819,0.986154,0.775945,0.886488,0.981064,0.797371,0.15918100000000002,0.013846000000000025,0.224055,0.11351199999999995,0.018935999999999953,0.20262899999999995
P-DESIP,0.878994,0.962156,0.182978,0.804652,0.931339,0.653009,0.12100599999999995,0.03784399999999999,0.817022,0.19534799999999997,0.06866099999999997,0.34699100000000005
U-DESIP,0.882304,0.962157,0.180225,0.816771,0.940929,0.65918,0.11769600000000002,0.03784299999999996,0.819775,0.18322899999999998,0.059070999999999985,0.34082
