word embeddings,RNSB_SOS ,RNSB_SOS_women ,RNSB_SOS_lgbtq ,RNSB_SOS_eth ,RNSB_Gender bias,RNSB_Racial bias
w2v,0.499558,0.206522,0.17662,0.335636,0.029882,0.08471
glove-wk,0.463473,0.414144,0.436207,0.814237,0.04381,0.118634
glove-twitter,0.424691,0.225303,0,0.578523,0.033452,0.127901
UD,0.628584,0.249768,0.829342,0.592651,0.027039,0.139842
Chan,0.888015,1.378449,0.500425,0.655616,0.141702,0.276003
Glove-CC,1.209798,0.576834,0.713248,1.493269,0.067636,0.100426
Glove-CC-large,1.105319,1.160859,1.024553,1.332916,0.06359,0.206047
FastText-CC,0.7262,0.191069,0.787007,1.00838,0.042487,0.113996
FastText-CC-subwords,0.079229,0.082303,0.030382,0.081018,0.01354,0.02393
FastText-wiki,0.242734,0.105471,0.201447,0.227934,0.026422,0.088127
FastText-wiki-subwords,0.00384,0.005187,0.004445,0.004172,0.003325,0.008409
SSWE,0.221917,0.364184,0,0.230516,0.126451,0.336518
Debias-W2v,0.063371,0.059441,0.050703,0.021662,0.006403,0.038671
P-DESIP,0.870508,0.643431,0.334293,0.878332,0.042097,0.082652
U-DESIP,0.849427,0.544844,0.434552,0.811371,0.045428,0.090777
