word embeddings,HateEval_MLP,HateEval_BiLSTM,Twitter_Hate_MLP,Twitter_Hate_BiLSTM,Twitter_racism_MLP,Twitter_racism_BiLSTM,Twitter_sexism_MLP,Twitter_sexism_BiLSTM
w2v,0.593,0.663,0.681,0.772,0.683,0.717,0.587,0.628
glove-wk,0.583,0.651,0.713,0.821,0.681,0.727,0.587,0.641
glove-twitter,0.623,0.671,0.775,0.851,0.68,0.699,0.589,0.668
UD,0.597,0.652,0.78,0.837,0.679,0.698,0.578,0.632
Chan,0.627,0.661,0.692,0.84,0.65,0.712,0.563,0.647
Glove-CC,0.625,0.675,0.778,0.839,0.695,0.74,0.577,0.648
Glove-CC-large,0.626,0.674,0.775,0.86,0.709,0.724,0.593,0.668
FastText-CC,0.627,0.675,0.792,0.843,0.701,0.741,0.607,0.654
FastText-CC-subwords,0.605,0.66,0.746,0.83,0.701,0.746,0.588,0.657
FastText-wiki,0.606,0.65,0.784,0.827,0.699,0.706,0.601,0.653
FastText-wiki-subwords,0.606,0.65,0.723,0.82,0.689,0.736,0.561,0.633
SSWE,0.558,0.628,0.502,0.715,0.324,0.666,0.203,0.548
Debias-W2v,0.626,0.652,0.678,0.741,0.674,0.715,0.564,0.638
P-DESIP,0.575,0.657,0.697,0.817,0.673,0.731,0.538,0.65
U-DESIP,0.598,0.649,0.702,0.815,0.673,0.726,0.548,0.638
