,words,sim_score
0,lesbian,0.5879484415054321
1,gay,1.0
2,bisexual,0.5316246151924133
3,transgender,0.3095502555370331
4,tran,0.022190650925040245
5,queer,0.8291594982147217
6,lgbt,0.04781673103570938
7,lgbtq,0.04123662784695625
8,homosexual,0.8371846675872803
9,woman,0.7420773506164551
10,female,0.7455689311027527
11,girl,0.5598368048667908
12,wife,0.39528366923332214
13,sister,0.47685661911964417
14,daughter,0.1856139749288559
15,mother,0.7802159786224365
16,non-binary,0.4810892343521118
17,african,0.12950415909290314
18,asian,0.35541361570358276
19,black,0.4856773316860199
20,hispanic,0.0
21,latin,0.03747965395450592
22,mexican,0.31099584698677063
23,indian,0.10060545057058334
24,arab,0.20117557048797607
