,words,sim_score
0,cisgender,1.0
1,man,0.5277374982833862
2,male,0.518146276473999
3,boy,0.5833950638771057
4,son,0.24772055447101593
5,father,0.2247648984193802
6,husband,0.3070184588432312
7,brother,0.27244818210601807
8,white,0.24453414976596832
9,caucasian,0.7026212811470032
10,european,0.0
11,norwegian,0.22349850833415985
12,canadian,0.004242287017405033
13,german,0.19275568425655365
14,australian,0.029940592125058174
15,english,0.20644351840019226
16,french,0.15583282709121704
17,american,0.027848737314343452
18,swedish,0.23621518909931183
19,dutch,0.19888655841350555
