,word1,word2,PMI
0,12-year-old,girl,12.426075918321065
1,Ito,girl,12.426075918321065
2,fourteen-year-old,girl,12.426075918321065
3,girl,chided,12.426075918321065
4,girl,speculatively,12.426075918321065
5,many-bodied,girl,12.426075918321065
6,sunbonnet,girl,12.426075918321065
7,Bartlett,girl,11.841113417599908
8,browny-haired,girl,11.426075918321065
9,girl,kneeled,11.426075918321065
10,Eskimo,girl,10.841113417599908
11,red-haired,girl,10.841113417599908
12,Orthodox,girl,10.426075918321065
13,girl,Songau,10.426075918321065
14,prettiest,girl,10.426075918321065
15,teenage,girl,10.426075918321065
16,blond,girl,9.966644299683766
17,frivolous,girl,9.841113417599908
18,Dear,girl,9.61872099626346
19,girl,reluctantly,9.61872099626346
20,girl,tapped,9.61872099626346
21,conscientious,girl,9.104147823433701
22,Turkish,girl,8.841113417599908
23,clever,girl,8.519185322712547
24,bleeding,girl,8.426075918321065
25,chorus,girl,8.338613077070725
26,girl,murmured,8.338613077070725
27,servant,girl,8.256150916878752
28,attractive,girl,8.140673699458816
29,girl,crawled,8.104147823433701
30,helpless,girl,8.104147823433701
31,seated,girl,8.033758495542303
32,girl,describes,7.966644299683768
33,charming,girl,7.902513962264052
34,stupid,girl,7.902513962264052
35,girl,reaches,7.782219728546341
36,girl,approaching,7.725636200179972
37,girl,cried,7.725636200179972
38,girl,named,7.653486414424139
39,naked,girl,7.47187960793419
40,girl,remarked,7.4260759183210645
41,sympathetic,girl,7.296792901376097
42,girl,ring,7.104147823433701
43,girl,pleased,7.068523913702981
44,lovely,girl,6.999811163618967
45,village,girl,6.871487066643427
46,girl,leaves,6.841113417599907
47,girl,laughed,6.753650576349569
48,girl,nodded,6.753650576349569
49,Japanese,girl,6.698155463757866
50,Smith,girl,6.671188416157596
51,pale,girl,6.593185904156323
52,ideal,girl,6.543432868959222
53,girl,turning,6.47187960793419
54,girl,happen,6.448795994821149
55,career,girl,6.359986727863292
56,nice,girl,6.3175514615428945
57,willing,girl,6.3175514615428945
58,girl,smiled,6.276328798816381
59,young,girl,6.2601639793853785
60,girl,expressed,6.2166225526921135
61,strange,girl,6.178148404877479
62,girl,watched,6.086225915436438
63,college,girl,6.077347764089987
64,Corps,girl,6.033758495542303
65,girl,worth,5.918281278122366
66,girl,sitting,5.902513962264052
67,poor,girl,5.902513962264052
68,girl,standing,5.84111341759991
69,March,girl,5.826163076133938
70,pretty,girl,5.796719298241454
71,girl,meant,5.782219728546341
72,girl,dropped,5.767864435569269
73,Another,girl,5.631660051970959
74,farm,girl,5.618720996263461
75,girl,learned,5.568094923193492
76,girl,looked,5.49533858075818
77,beautiful,girl,5.495338580758178
78,girl,friend,5.4602916336589775
79,white,girl,5.437391231548899
80,girl,stopped,5.4148486628978105
81,girl,opened,5.392652916783613
82,girl,lay,5.349260321270233
83,bad,girl,5.307134845597556
84,working,girl,5.2166225526921135
85,little,girl,5.1259521937520525
86,girl,getting,5.1222951701439605
87,girl,coming,5.016684982183364
88,girl,tried,5.016684982183364
89,girl,soon,4.966644299683768
90,call,girl,4.926230031237859
91,American,girl,4.858753576735641
92,girl,students,4.753650576349569
93,One,girl,4.7152694846217145
94,girl,said,4.5020057327357215
95,girl,became,4.4894379793184935
96,girl,keep,4.477708686736387
97,country,girl,4.140673699458816
98,girl,turned,4.104147823433699
99,girl,children,4.008223403435167
100,girl,saw,3.9748648064887355
101,girl,next,3.926230031237857
102,girl,asked,3.848647090285315
103,good,girl,3.842993150818131
104,girl,almost,3.76074000113589
105,girl,told,3.743081334639381
106,girl,took,3.6947568872959984
107,girl,found,3.3599867278632907
108,old,girl,3.276328798816383
109,girl,like,3.153446133344694
110,girl,last,3.1131929630367097
111,girl,might,3.0380586329759325
112,girl,still,2.9123483223686257
113,like,girl,2.153446133344694
114,two,girl,2.0696239480993093
115,girl,would,2.039674494680284
116,one,girl,1.9377336407885402
117,girl,could,1.8003670752565988
