,words,cos_sim_scores,sim_score
0,hetrosexual,0.5216754078865051,1.0
1,man,0.2557109594345093,0.2461874932050705
2,male,0.26238346099853516,0.26509910821914673
3,boy,0.2855853736400604,0.33085936307907104
4,son,0.17175108194351196,0.008223338052630424
5,father,0.1865108758211136,0.05005643516778946
6,husband,0.19862397015094757,0.08438809961080551
7,brother,0.16884967684745789,0.0
8,white,0.2725905179977417,0.29402855038642883
9,caucasian,0.3212377727031708,0.4319075345993042
10,european,0.3151811361312866,0.4147414565086365
11,norwegian,0.3794456124305725,0.5968837141990662
12,canadian,0.39123818278312683,0.6303069591522217
13,german,0.36928650736808777,0.5680902004241943
14,australian,0.40200793743133545,0.6608312129974365
15,english,0.43302783370018005,0.7487496733665466
16,french,0.37604159116744995,0.5872358679771423
17,american,0.43370935320854187,0.7506812810897827
18,swedish,0.3645991384983063,0.5548049211502075
19,dutch,0.42749762535095215,0.7330756187438965
20,lesbian,0.31653502583503723,0.41857874393463135
21,gay,0.3315390348434448,0.46110400557518005
22,bisexual,0.3670769929885864,0.5618278384208679
23,transgender,0.18727439641952515,0.05222045257687569
24,tran,0.31412601470947266,0.4117509722709656
25,queer,0.40495678782463074,0.6691890358924866
26,lgbt,0.397014856338501,0.6466795206069946
27,homosexual,0.3162538409233093,0.417781800031662
28,woman,0.25707417726516724,0.25005120038986206
29,female,0.26370662450790405,0.26884928345680237
30,girl,0.28674259781837463,0.33413922786712646
31,wife,0.18296945095062256,0.040019117295742035
32,sister,0.17034117877483368,0.004227304831147194
33,daughter,0.17288942635059357,0.011449702084064484
34,mother,0.18781842291355133,0.05376236513257027
35,african,0.38184693455696106,0.6036896705627441
36,asian,0.4216083288192749,0.7163838148117065
37,black,0.26734986901283264,0.27917519211769104
38,hispanic,0.33080005645751953,0.4590095579624176
39,latin,0.4015870690345764,0.6596384048461914
40,mexican,0.41176411509513855,0.6884827613830566
41,indian,0.374946653842926,0.5841324925422668
42,arab,0.4375911355018616,0.7616832852363586
