,words,cos_sim_scores,sim_score
0,hetrosexual,0.4420696496963501,0.7886332869529724
1,cisgender,0.3450224697589874,0.39123064279556274
2,man,0.44600871205329895,0.8047635555267334
3,male,0.3196134567260742,0.2871822118759155
4,boy,0.4194183051586151,0.6958773732185364
5,son,0.3263399302959442,0.31472674012184143
6,father,0.2889910936355591,0.16178537905216217
7,husband,0.28832659125328064,0.15906427800655365
8,brother,0.3122943043708801,0.25721070170402527
9,white,0.32540541887283325,0.310899943113327
10,caucasian,0.37888768315315247,0.5299067497253418
11,european,0.3686275780200958,0.487892210483551
12,norwegian,0.32670924067497253,0.31623902916908264
13,canadian,0.336771696805954,0.35744422674179077
14,german,0.35945039987564087,0.45031219720840454
15,australian,0.34980282187461853,0.41080594062805176
16,english,0.3134838044643402,0.2620816230773926
17,french,0.3470858633518219,0.39968013763427734
18,american,0.3692726194858551,0.49053362011909485
19,swedish,0.32133546471595764,0.2942337393760681
20,dutch,0.3714750111103058,0.49955230951309204
21,lesbian,0.49368616938591003,1.0
22,gay,0.453593373298645,0.8358222842216492
23,bisexual,0.4325806498527527,0.7497764229774475
24,transgender,0.29743003845214844,0.1963423788547516
25,tran,0.3081294894218445,0.24015600979328156
26,queer,0.427411824464798,0.7286103367805481
27,lgbt,0.3045486807823181,0.22549280524253845
28,lgbtq,0.2914288640022278,0.17176790535449982
29,homosexual,0.4257439374923706,0.7217804193496704
30,woman,0.3698141276836395,0.4927510917186737
31,female,0.30605727434158325,0.23167040944099426
32,girl,0.45749759674072266,0.8518098592758179
33,wife,0.3601926565170288,0.4533517062664032
34,sister,0.2610340714454651,0.0473029725253582
35,daughter,0.2725413143634796,0.09442447125911713
36,mother,0.32870644330978394,0.32441747188568115
37,non-binary,0.24948251247406006,0.0
38,african,0.39292457699775696,0.5873870253562927
39,asian,0.4471837878227234,0.8095753788948059
40,black,0.34389495849609375,0.3866135776042938
41,hispanic,0.37148162722587585,0.49957939982414246
42,latin,0.42051073908805847,0.700350821018219
43,mexican,0.3978050649166107,0.6073723435401917
44,indian,0.36410462856292725,0.4693710207939148
45,arab,0.4562033712863922,0.846510112285614
