,words,cos_sim_scores,sim_score
0,hetrosexual,0.5653693079948425,0.8039929270744324
1,cisgender,0.472692608833313,0.48570793867111206
2,man,0.6224417090415955,1.0
3,male,0.5071653723716736,0.6040997505187988
4,boy,0.6035089492797852,0.9349781274795532
5,son,0.45517703890800476,0.42555320262908936
6,father,0.46102648973464966,0.4456423223018646
7,husband,0.44055458903312683,0.3753344714641571
8,brother,0.4756433665752411,0.4958418905735016
9,white,0.48895853757858276,0.5415709614753723
10,caucasian,0.4504435360431671,0.4092966616153717
11,european,0.44137904047966003,0.37816593050956726
12,norwegian,0.3981633186340332,0.22974766790866852
13,canadian,0.4349408745765686,0.35605496168136597
14,german,0.45080575346946716,0.4105406403541565
15,australian,0.39630264043807983,0.2233574241399765
16,english,0.4858906865119934,0.5310348868370056
17,french,0.49103987216949463,0.548719048500061
18,american,0.4849507808685303,0.5278068780899048
19,swedish,0.4591536819934845,0.4392104148864746
20,dutch,0.4600631892681122,0.44233399629592896
21,lesbian,0.5420438647270203,0.7238849997520447
22,gay,0.5656973123550415,0.8051193952560425
23,bisexual,0.4958309829235077,0.5651733875274658
24,transgender,0.40901824831962585,0.2670273780822754
25,tran,0.42533180117607117,0.3230539560317993
26,queer,0.5653618574142456,0.8039673566818237
27,lgbt,0.36805734038352966,0.1263529509305954
28,lgbtq,0.3835086226463318,0.1794181913137436
29,homosexual,0.5239935517311096,0.6618937849998474
30,woman,0.548274576663971,0.7452834844589233
31,female,0.47762978076934814,0.5026639699935913
32,girl,0.603997528553009,0.9366560578346252
33,wife,0.47889944911003113,0.5070244669914246
34,sister,0.41537004709243774,0.28884172439575195
35,daughter,0.42480114102363586,0.321231484413147
36,mother,0.508132815361023,0.6074222922325134
37,non-binary,0.33126649260520935,0.0
38,african,0.4627740979194641,0.4516442120075226
39,asian,0.5030066967010498,0.5898174047470093
40,black,0.48532599210739136,0.5290955305099487
41,hispanic,0.47755691409111023,0.5024136900901794
42,latin,0.49029865860939026,0.5461734533309937
43,mexican,0.4765945374965668,0.49910855293273926
44,indian,0.43972697854042053,0.3724921643733978
45,arab,0.4709770083427429,0.4798159599304199
