,words,cos_sim_scores,sim_score
0,hetrosexual,0.31719088554382324,0.2820402979850769
1,cisgender,0.27186134457588196,0.09009560197591782
2,man,0.47940000891685486,0.9689031839370728
3,male,0.4362093508243561,0.7860154509544373
4,boy,0.4035881459712982,0.6478832960128784
5,son,0.3990749418735504,0.6287724375724792
6,father,0.3173621892929077,0.282765656709671
7,husband,0.3073785603046417,0.24049070477485657
8,brother,0.3231300413608551,0.3071892261505127
9,white,0.3608032464981079,0.46671372652053833
10,caucasian,0.2863558232784271,0.15147143602371216
11,european,0.27659204602241516,0.11012741178274155
12,norwegian,0.25233545899391174,0.0074146343395113945
13,canadian,0.3097321391105652,0.2504567801952362
14,german,0.3030294179916382,0.22207456827163696
15,australian,0.2937312722206116,0.18270224332809448
16,english,0.33626672625541687,0.36281558871269226
17,french,0.309084951877594,0.2477162927389145
18,american,0.2899152934551239,0.16654375195503235
19,swedish,0.26147040724754333,0.046095918864011765
20,dutch,0.3156399428844452,0.2754729390144348
21,lesbian,0.38943395018577576,0.5879483819007874
22,gay,0.4867438077926636,1.0
23,bisexual,0.3761325478553772,0.5316245555877686
24,transgender,0.3236876130104065,0.3095502257347107
25,tran,0.2558249533176422,0.022190647199749947
26,queer,0.44639819860458374,0.8291593790054321
27,lgbt,0.26187679171562195,0.047816723585128784
28,lgbtq,0.2603228688240051,0.0412367507815361
29,homosexual,0.44829344749450684,0.837184727191925
30,woman,0.42583292722702026,0.7420772314071655
31,female,0.4266575276851654,0.7455689311027527
32,girl,0.382795125246048,0.559836745262146
33,wife,0.3439343571662903,0.39528360962867737
34,sister,0.36319857835769653,0.4768565595149994
35,daughter,0.29441890120506287,0.1856139600276947
36,mother,0.43483975529670715,0.7802159786224365
37,non-binary,0.36419814825057983,0.48108917474746704
38,african,0.28116804361343384,0.12950414419174194
39,asian,0.3345186710357666,0.355413556098938
40,black,0.3652816712856293,0.4856772720813751
41,hispanic,0.2505844235420227,0.0
42,latin,0.2594355642795563,0.037479519844055176
43,mexican,0.32402896881103516,0.3109956681728363
44,indian,0.274343341588974,0.10060543566942215
45,arab,0.29809391498565674,0.2011755406856537
