,words,cos_sim_scores,sim_score
0,hetrosexual,0.38124358654022217,0.6637185215950012
1,cisgender,0.2688065469264984,0.38094910979270935
2,man,0.27403193712234497,0.3940905034542084
3,male,0.2149544656276703,0.24551579356193542
4,boy,0.34091299772262573,0.562290608882904
5,son,0.14547647535800934,0.07078465819358826
6,father,0.11733051389455795,0.0
7,husband,0.17467285692691803,0.1442110389471054
8,brother,0.18662391602993011,0.17426691949367523
9,white,0.18363994359970093,0.16676248610019684
10,caucasian,0.31167128682136536,0.4887502193450928
11,european,0.27241140604019165,0.39001500606536865
12,norwegian,0.24641671776771545,0.3246406316757202
13,canadian,0.20274493098258972,0.21480987966060638
14,german,0.26899778842926025,0.381430059671402
15,australian,0.2236889898777008,0.26748237013816833
16,english,0.18091996014118195,0.15992195904254913
17,french,0.26063063740730286,0.3603874146938324
18,american,0.24929358065128326,0.3318757116794586
19,swedish,0.3183898627758026,0.5056468844413757
20,dutch,0.2953765392303467,0.447770357131958
21,lesbian,0.4764203429222107,0.9030798673629761
22,gay,0.4407673478126526,0.8134156465530396
23,bisexual,0.43655821681022644,0.8028300404548645
24,transgender,0.2059013396501541,0.22274796664714813
25,tran,0.2936434745788574,0.44341182708740234
26,queer,0.39828598499298096,0.7065787315368652
27,lgbt,0.23702339828014374,0.30101725459098816
28,lgbtq,0.2651992738246918,0.37187713384628296
29,homosexual,0.304863303899765,0.47162872552871704
30,woman,0.2733166217803955,0.3922915458679199
31,female,0.19733846187591553,0.201213076710701
32,girl,0.37680408358573914,0.6525535583496094
33,wife,0.23958425223827362,0.3074575960636139
34,sister,0.20332010090351105,0.21625638008117676
35,daughter,0.14929555356502533,0.08038931339979172
36,mother,0.20171140134334564,0.21221064031124115
37,non-binary,0.18937990069389343,0.18119798600673676
38,african,0.3027454614639282,0.4663025438785553
39,asian,0.5149585008621216,1.0
40,black,0.24083004891872406,0.3105906546115875
41,hispanic,0.35487115383148193,0.5973941683769226
42,latin,0.4142245352268219,0.7466627955436707
43,mexican,0.35245925188064575,0.5913284420967102
44,indian,0.29887422919273376,0.456566721200943
45,arab,0.4355407953262329,0.8002713322639465
