,words,cos_sim_scores,sim_score
0,hetrosexual,0.5265253782272339,1.0
1,man,0.27257275581359863,0.31667837500572205
2,male,0.30430546402931213,0.4020629823207855
3,boy,0.2728014290332794,0.3172936737537384
4,son,0.16046637296676636,0.01502876915037632
5,father,0.15488101541996002,0.0
6,husband,0.21095624566078186,0.15088410675525665
7,brother,0.18142887949943542,0.07143351435661316
8,white,0.2743171453475952,0.3213720917701721
9,caucasian,0.32360997796058655,0.45400649309158325
10,european,0.3059687316417694,0.4065384268760681
11,norwegian,0.3667026162147522,0.5699577927589417
12,canadian,0.37734946608543396,0.5986056923866272
13,german,0.35639095306396484,0.5422117114067078
14,australian,0.3936450481414795,0.6424529552459717
15,english,0.4229443669319153,0.7212899923324585
16,french,0.36658069491386414,0.5696297287940979
17,american,0.42076313495635986,0.7154208421707153
18,swedish,0.3543333411216736,0.536675214767456
19,dutch,0.414791464805603,0.6993526220321655
20,lesbian,0.3418503999710083,0.5030868053436279
21,gay,0.3419021964073181,0.5032261610031128
22,bisexual,0.3816918134689331,0.6102898716926575
23,transgender,0.20404337346553802,0.13228332996368408
24,tran,0.30806204676628113,0.41217097640037537
25,queer,0.4126874506473541,0.6936911344528198
26,lgbt,0.39969393610954285,0.6587289571762085
27,homosexual,0.32538333535194397,0.45877814292907715
28,woman,0.254603773355484,0.268328458070755
29,female,0.26243531703948975,0.289401113986969
30,girl,0.31328028440475464,0.4262119233608246
31,wife,0.19001717865467072,0.09454242885112762
32,sister,0.16063858568668365,0.015492149628698826
33,daughter,0.19569140672683716,0.10981032997369766
34,mother,0.2300858348608017,0.20235693454742432
35,african,0.37680673599243164,0.5971453785896301
36,asian,0.4172969460487366,0.7060942053794861
37,black,0.2699683904647827,0.30967068672180176
38,hispanic,0.3317364752292633,0.47587281465530396
39,latin,0.3950953185558319,0.6463552713394165
40,mexican,0.4046306312084198,0.6720123887062073
41,indian,0.36576154828071594,0.5674256086349487
42,arab,0.4309196472167969,0.7427493929862976
