,offensive_ethnicity_word,w2v_sim,glove_wk_sim,glove_twitter_sim,ud_sim,chan_sim
0,2g1c,0.0,0.0,0.0,0.4435013234615326,0.0
2,beaner,0.6171096563339233,0.5348057150840759,0.4989266097545624,0.3504001200199127,0.35663852095603943
3,beaners,0.6302685141563416,0.0,0.4537039399147034,0.4269978404045105,0.244543731212616
4,bitch,0.4352313280105591,0.3044266402721405,0.3606095016002655,0.2529413998126984,0.3979572653770447
5,bitches,0.3860264420509337,0.241436630487442,0.3478114604949951,0.2351478040218353,0.3402047455310821
9,coon,0.2607691287994385,0.21312828361988068,0.22051747143268585,0.15410085022449493,0.31221121549606323
10,coons,0.5219573378562927,0.4545637667179108,0.4445123970508576,0.232459157705307,0.3365709483623505
11,darkie,0.6241031289100647,0.547447144985199,0.4580305516719818,0.3039402961730957,0.4040884077548981
12,fag,0.31713634729385376,0.23430466651916504,0.33903592824935913,0.2508833408355713,0.2818588316440582
13,faggot,0.0,0.31240513920784,0.3359518945217133,0.25894054770469666,0.31765037775039673
15,fucktards,0.6353362798690796,0.0,0.4224445521831513,0.2833467423915863,0.282883882522583
17,fudgepacker,0.0,0.0,0.0,0.18187254667282104,0.3526869714260101
23,homoerotic,0.5311170220375061,0.527590811252594,0.5046595335006714,0.3309757709503174,0.41334599256515503
25,jigaboo,0.0,0.0,0.4648993611335754,0.2581440210342407,0.4104114472866057
26,jiggaboo,0.0,0.0,0.55025714635849,0.2768619060516357,0.4719652831554413
27,jiggerboo,0.0,0.0,0.0,0.310105174779892,0.0
28,kike,0.5808475613594055,0.5899408459663391,0.449288010597229,0.41154614090919495,0.3733174204826355
29,lolita,0.4952059984207153,0.5570759773254395,0.4163516461849213,0.4575580954551697,0.5110371112823486
30,milf,0.42127177119255066,0.4846124053001404,0.4067095220088959,0.4998367428779602,0.46846142411232
31,negro,0.4531835615634918,0.5174337029457092,0.4580387771129608,0.21681222319602966,0.3178670406341553
32,nigga,0.3863866031169891,0.31858742237091064,0.3476769030094147,0.18725843727588654,0.31978583335876465
33,nigger,0.3548274636268616,0.2809530794620514,0.3118667006492615,0.19561176002025604,0.2648400366306305
37,poof,0.5805866718292236,0.5153591632843018,0.6130974888801575,0.3442610502243042,0.4213029146194458
38,raghead,0.4991054236888886,0.5477343201637268,0.0,0.35123157501220703,0.4266762733459473
40,shemale,0.3259161710739136,0.0,0.21804969012737274,0.17146524786949158,0.2915153503417969
41,slanteye,0.0,0.0,0.0,0.3732755780220032,0.542930543422699
42,spic,0.5233576297760011,0.5760569572448729,0.4984705150127411,0.316881000995636,0.3171517848968506
45,towelhead,0.0,0.5149441361427307,0.0,0.3174583315849304,0.4491978883743286
46,tranny,0.6380916833877563,0.4710133969783783,0.3157351613044739,0.243374302983284,0.3859061300754547
48,tubgirl,0.0,0.0,0.0,0.2072677165269852,0.3899858891963959
49,twink,0.6038422584533691,0.6070667505264282,0.4341122508049011,0.35763928294181824,0.5023032426834106
50,twinkie,0.5950432419776917,0.5746597051620483,0.4873805046081543,0.4974457025527954,0.622689962387085
52,wetback,0.4891521334648132,0.5186366438865662,0.5132647752761841,0.4100581407546997,0.3993435800075531
