,words,cos_sim_scores,sim_score
0,hetrosexual,0.6224753856658936,0.9377244114875793
1,cisgender,0.5300655961036682,0.5876061320304871
2,man,0.5901994705200195,0.8154388070106506
3,male,0.5689843893051147,0.7350600361824036
4,boy,0.599325954914093,0.8500168323516846
5,son,0.43327125906944275,0.2208758443593979
6,father,0.44383129477500916,0.2608852684497833
7,husband,0.45312047004699707,0.29607969522476196
8,brother,0.42970114946365356,0.20734955370426178
9,white,0.48483648896217346,0.4162440001964569
10,caucasian,0.48277178406715393,0.4084213376045227
11,european,0.4326508939266205,0.21852542459964752
12,norwegian,0.39227616786956787,0.06555537134408951
13,canadian,0.4290430247783661,0.20485608279705048
14,german,0.44124191999435425,0.25107473134994507
15,australian,0.3749735653400421,0.0
16,english,0.4553445279598236,0.3045060932636261
17,french,0.47206974029541016,0.367873877286911
18,american,0.46561598777770996,0.34342217445373535
19,swedish,0.4746219217777252,0.37754347920417786
20,dutch,0.4360277056694031,0.2313193529844284
21,lesbian,0.6265580058097839,0.9531924724578857
22,gay,0.6126333475112915,0.9004353284835815
23,bisexual,0.55827397108078,0.694480836391449
24,transgender,0.4936847686767578,0.44976797699928284
25,tran,0.4242504835128784,0.1866983026266098
26,queer,0.5963218808174133,0.8386351466178894
27,lgbt,0.4260232448577881,0.1934148669242859
28,lgbtq,0.4718262851238251,0.36695149540901184
29,homosexual,0.6153460144996643,0.9107129573822021
30,woman,0.5794935822486877,0.7748767733573914
31,female,0.5418027639389038,0.6320754289627075
32,girl,0.6389123201370239,1.0
33,wife,0.492387592792511,0.4448533058166504
34,sister,0.41010525822639465,0.13310547173023224
35,daughter,0.43538346886634827,0.22887848317623138
36,mother,0.5032685995101929,0.48607879877090454
37,non-binary,0.39185407757759094,0.06395617127418518
38,african,0.46598079800605774,0.3448043465614319
39,asian,0.5225476622581482,0.5591225028038025
40,black,0.4830529987812042,0.4094868004322052
41,hispanic,0.4996030926704407,0.47219109535217285
42,latin,0.4898761212825775,0.43533796072006226
43,mexican,0.4769715666770935,0.3864457309246063
44,indian,0.43243297934532166,0.21769979596138
45,arab,0.46029165387153625,0.32324957847595215
