,words,cos_sim_scores,sim_score
0,hetrosexual,0.575015127658844,0.8425267934799194
1,cisgender,0.5426695942878723,0.7548913955688477
2,man,0.6091262102127075,0.9349457025527954
3,male,0.6183363795280457,0.9598993062973022
4,boy,0.601394772529602,0.913998544216156
5,son,0.43633705377578735,0.46679919958114624
6,father,0.45455750823020935,0.5161648392677307
7,husband,0.45799288153648376,0.5254724621772766
8,brother,0.4379250407218933,0.4711016118526459
9,white,0.5360508561134338,0.736958920955658
10,caucasian,0.4724280536174774,0.5645824074745178
11,european,0.4326111078262329,0.456704318523407
12,norwegian,0.38368546962738037,0.3241475820541382
13,canadian,0.4564704895019531,0.5213477611541748
14,german,0.49552398920059204,0.6271573901176453
15,australian,0.4205266833305359,0.42396336793899536
16,english,0.48439568281173706,0.5970069169998169
17,french,0.5351547598838806,0.7345311045646667
18,american,0.5069380402565002,0.6580820679664612
19,swedish,0.49724698066711426,0.6318255662918091
20,dutch,0.5146259665489197,0.6789113879203796
21,lesbian,0.6065338850021362,0.9279221892356873
22,gay,0.6250689625740051,0.9781402349472046
23,bisexual,0.5466986298561096,0.7658075094223022
24,transgender,0.5234944820404053,0.7029392719268799
25,tran,0.5221492052078247,0.6992944478988647
26,queer,0.600281298160553,0.9109817743301392
27,lgbt,0.28769078850746155,0.06406426429748535
28,lgbtq,0.26404517889022827,0.0
29,homosexual,0.6286761164665222,0.9879133105278015
30,woman,0.5652678608894348,0.816118061542511
31,female,0.6018548011779785,0.9152449369430542
32,girl,0.6331372261047363,1.0
33,wife,0.4571572542190552,0.5232084393501282
34,sister,0.4424477219581604,0.48335516452789307
35,daughter,0.41440850496292114,0.4073870778083801
36,mother,0.5015769004821777,0.6435568928718567
37,non-binary,0.45967990159988403,0.5300431847572327
38,african,0.44404491782188416,0.4876825213432312
39,asian,0.4550233781337738,0.5174270272254944
40,black,0.5533658862113953,0.7838714122772217
41,hispanic,0.4626860022544861,0.5381877422332764
42,latin,0.4588206708431244,0.5277152061462402
43,mexican,0.42760369181632996,0.4431374669075012
44,indian,0.4939274787902832,0.6228318810462952
45,arab,0.45837152004241943,0.5264983177185059
