,words,cos_sim_scores,sim_score
0,hetrosexual,0.37774500250816345,0.468061238527298
1,cisgender,0.32242706418037415,0.2555778920650482
2,man,0.4641733467578888,0.8000437021255493
3,male,0.5073989033699036,0.9660786390304565
4,boy,0.3684207499027252,0.4322455823421478
5,son,0.3122766315937042,0.21658876538276672
6,father,0.3075852394104004,0.19856852293014526
7,husband,0.3293567895889282,0.2821958661079407
8,brother,0.2978372573852539,0.16112525761127472
9,white,0.37216395139694214,0.44662371277809143
10,caucasian,0.3420198857784271,0.3308364450931549
11,european,0.324390709400177,0.26312050223350525
12,norwegian,0.27368560433387756,0.06835563480854034
13,canadian,0.32196396589279175,0.25379908084869385
14,german,0.31694039702415466,0.2345028966665268
15,australian,0.29253312945365906,0.1407514214515686
16,english,0.3062296211719513,0.19336141645908356
17,french,0.3109932839870453,0.2116592526435852
18,american,0.3142659366130829,0.22422994673252106
19,swedish,0.30057474970817566,0.1716403216123581
20,dutch,0.35760006308555603,0.3906819224357605
21,lesbian,0.4841711223125458,0.8768577575683594
22,gay,0.5079671144485474,0.9682612419128418
23,bisexual,0.44712865352630615,0.7345728278160095
24,transgender,0.3916684687137604,0.5215430855751038
25,tran,0.255889892578125,0.0
26,queer,0.437377005815506,0.6971154808998108
27,lgbt,0.3390698730945587,0.31950506567955017
28,lgbtq,0.32285165786743164,0.25720879435539246
29,homosexual,0.5162299871444702,1.0
30,woman,0.4896211326122284,0.8977919220924377
31,female,0.4982892572879791,0.93108731508255
32,girl,0.3785819113254547,0.4712759256362915
33,wife,0.3614136278629303,0.4053303301334381
34,sister,0.3469443619251251,0.3497520089149475
35,daughter,0.30320513248443604,0.18174396455287933
36,mother,0.34232866764068604,0.3320225179195404
37,non-binary,0.3734266459941864,0.4514738917350769
38,african,0.3350842595100403,0.3041958212852478
39,asian,0.3758380711078644,0.460736483335495
40,black,0.38274064660072327,0.4872501790523529
41,hispanic,0.3118639290332794,0.21500352025032043
42,latin,0.28760313987731934,0.12181469053030014
43,mexican,0.37283310294151306,0.4491940140724182
44,indian,0.2898201644420624,0.13033056259155273
45,arab,0.2805327773094177,0.09465651214122772
