,words,sim_score
0,and,1.0
1,but,0.877548098564148
2,as,0.8640487194061279
3,until,0.5484475493431091
4,while,0.9769594073295593
5,of,0.6471419334411621
6,at,0.4931196868419647
7,by,0.4032306969165802
8,for,0.6990553140640259
9,with,0.6974467635154724
10,about,0.5817250609397888
11,against,0.04173101857304573
12,between,0.06759130954742432
13,into,0.4440917670726776
14,through,0.0
15,during,0.35608819127082825
16,before,0.7249125838279724
17,after,0.7478563189506531
18,time,0.6091927289962769
19,year,0.2713920772075653
20,people,0.6755966544151306
21,day,0.4913865029811859
22,child,0.21489857137203217
23,work,0.5069176554679871
24,life,0.32746949791908264
25,thing,0.7400982975959778
26,world,0.17976176738739014
27,way,0.6811431050300598
28,back,0.8419864773750305
