,words,sim_score
0,and,0.13856059312820435
1,but,0.18068952858448029
2,as,0.16306748986244202
3,until,0.1032622680068016
4,while,0.002526247873902321
5,of,0.04133129119873047
6,at,0.043230023235082626
7,by,0.07934048771858215
8,for,0.06312684714794159
9,with,0.0
10,about,0.37944287061691284
11,against,0.2430572211742401
12,between,0.09289630502462387
13,into,0.3442791700363159
14,through,0.22166794538497925
15,during,0.13476911187171936
16,before,0.13164357841014862
17,after,0.020442673936486244
18,time,0.16609220206737518
19,year,0.005319064483046532
20,people,0.49872738122940063
21,day,0.2990947961807251
22,child,0.6534236073493958
23,work,0.22186467051506042
24,life,0.4838672876358032
25,thing,1.0
26,world,0.174798846244812
27,way,0.41731157898902893
28,back,0.356285959482193
