,words,cos_sim_scores,sim_score
0,hetrosexual,0.588110089302063,1.0
1,man,0.28261470794677734,0.28520098328590393
2,male,0.4168965220451355,0.5993939638137817
3,boy,0.30805879831314087,0.34473514556884766
4,son,0.16072368621826172,0.0
5,father,0.16872425377368927,0.01871975138783455
6,husband,0.24356572329998016,0.19383405148983002
7,brother,0.1711965948343277,0.024504544213414192
8,white,0.278041273355484,0.2745000422000885
9,caucasian,0.3241092264652252,0.38228997588157654
10,european,0.26805567741394043,0.2511357069015503
11,norwegian,0.36072298884391785,0.4679589867591858
12,canadian,0.34605976939201355,0.4336499273777008
13,german,0.31743520498275757,0.3666740953922272
14,australian,0.3487408757209778,0.4399231970310211
15,english,0.35733336210250854,0.46002790331840515
16,french,0.32343652844429016,0.3807159960269928
17,american,0.33054423332214355,0.3973466157913208
18,swedish,0.3209705650806427,0.37494614720344543
19,dutch,0.3549288809299469,0.4544019103050232
20,lesbian,0.4504682123661041,0.6779451370239258
21,gay,0.4372357428073883,0.6469837427139282
22,bisexual,0.4877273142337799,0.7651240825653076
23,transgender,0.3077515661716461,0.34401628375053406
24,tran,0.27366721630096436,0.26426562666893005
25,queer,0.47513261437416077,0.7356549501419067
26,lgbt,0.44031822681427,0.6541961431503296
27,homosexual,0.4446166157722473,0.6642535328865051
28,woman,0.341717004776001,0.42348870635032654
29,female,0.37107378244400024,0.4921777844429016
30,girl,0.4043920636177063,0.5701360106468201
31,wife,0.20947588980197906,0.11407055705785751
32,sister,0.17917796969413757,0.04317938908934593
33,daughter,0.22965756058692932,0.1612916886806488
34,mother,0.26642757654190063,0.24732628464698792
35,african,0.3471304178237915,0.4361550211906433
36,asian,0.4292120635509491,0.6282098889350891
37,black,0.27095723152160645,0.25792479515075684
38,hispanic,0.3140476942062378,0.3587479889392853
39,latin,0.4011792838573456,0.5626187324523926
40,mexican,0.36062878370285034,0.467738538980484
41,indian,0.34135693311691284,0.4226462244987488
42,arab,0.38247278332710266,0.5188491940498352
