,words,sim_score
0,but,0.5558651685714722
1,as,0.3164282441139221
2,until,0.3054286539554596
3,while,0.24496635794639587
4,at,0.17444674670696259
5,by,0.02589072473347187
6,for,0.17299534380435944
7,with,0.1779235452413559
8,about,0.403437077999115
9,against,0.18390318751335144
10,between,0.1242954358458519
11,into,0.27300533652305603
12,through,0.1405581533908844
13,during,0.0483819842338562
14,before,0.2568550705909729
15,after,0.17866428196430206
16,time,0.3415154814720154
17,year,0.0
18,people,0.5000272393226624
19,day,0.3166009783744812
20,child,0.5639390349388123
21,work,0.2889457643032074
22,life,0.5439389944076538
23,thing,1.0
24,world,0.4389505982398987
25,way,0.5785560011863708
26,back,0.5604588389396667
